id,beginn,lon,lat,dauer_h,sri_max
T5_Eta_000001,2001-01-01T20:50:00,8.2056,47.7101,18,2
T5_Eta_000002,2001-01-05T08:50:00,8.8250,51.1479,6,2
T5_Eta_000003,2001-01-05T14:50:00,12.4683,49.6615,2,3
T5_Eta_000004,2001-02-15T23:50:00,14.4543,52.3149,6,6
T5_Eta_000005,2001-02-15T23:50:00,14.5284,52.1209,9,7
T5_Eta_000006,2001-04-04T14:50:00,10.9414,50.0226,1,7
T5_Eta_000007,2001-04-04T14:50:00,10.8368,50.0833,1,9
T5_Eta_000008,2001-04-04T14:50:00,10.7328,50.1950,1,3
T5_Eta_000009,2001-04-10T12:50:00,10.0592,53.6086,4,7
T5_Eta_000010,2001-04-15T02:50:00,7.4178,50.9388,6,2
T5_Eta_000011,2001-04-29T16:50:00,6.3544,50.2859,1,6
T5_Eta_000012,2001-04-30T15:50:00,11.1403,50.8827,1,7
T5_Eta_000013,2001-04-30T15:50:00,11.2509,50.9412,1,4
T5_Eta_000014,2001-05-03T12:50:00,7.8627,51.4654,1,6
T5_Eta_000015,2001-05-03T14:50:00,8.6913,51.8164,1,3
T5_Eta_000016,2001-05-03T13:50:00,8.0486,51.5985,2,8
T5_Eta_000017,2001-05-03T13:50:00,8.4075,51.6226,2,4
T5_Eta_000018,2001-05-03T13:50:00,8.5844,51.7029,2,6
T5_Eta_000019,2001-05-03T15:50:00,11.5507,48.4465,1,5
T5_Eta_000020,2001-05-03T15:50:00,8.8778,52.0860,1,4
T5_Eta_000021,2001-05-03T15:50:00,8.9582,52.2163,1,3
T5_Eta_000022,2001-05-03T16:50:00,8.6353,51.4629,1,7
T5_Eta_000023,2001-05-03T15:50:00,8.7999,51.4910,2,5
T5_Eta_000024,2001-05-03T15:50:00,7.9282,52.0007,2,4
T5_Eta_000025,2001-05-03T15:50:00,8.0412,52.2362,2,2
T5_Eta_000026,2001-05-03T13:50:00,7.5518,50.9683,4,9
T5_Eta_000027,2001-05-03T16:50:00,10.7916,48.6086,2,6
T5_Eta_000028,2001-05-03T16:50:00,7.9471,52.3983,2,2
T5_Eta_000029,2001-05-03T19:50:00,10.5862,53.5546,1,4
T5_Eta_000030,2001-05-03T18:50:00,10.0591,53.5477,3,2
T5_Eta_000031,2001-05-03T18:50:00,10.0740,53.6782,3,3
T5_Eta_000032,2001-05-03T21:50:00,12.9105,52.6440,1,5
T5_Eta_000033,2001-05-03T22:50:00,13.0458,53.0474,1,5
T5_Eta_000034,2001-05-03T21:50:00,12.9703,52.8415,2,2
T5_Eta_000035,2001-05-03T21:50:00,13.1128,53.1495,3,3
T5_Eta_000036,2001-05-04T16:50:00,10.5098,47.5849,1,3
T5_Eta_000037,2001-05-04T17:50:00,9.4785,47.6016,2,7
T5_Eta_000038,2001-05-04T17:50:00,8.5205,47.9512,6,5
T5_Eta_000039,2001-05-05T13:50:00,11.2704,48.0470,1,6
T5_Eta_000040,2001-05-05T13:50:00,11.6133,48.1253,1,8
T5_Eta_000041,2001-05-05T12:50:00,11.4857,48.0856,2,10
T5_Eta_000042,2001-05-05T12:50:00,12.8397,48.8530,2,5
T5_Eta_000043,2001-05-05T14:50:00,11.8436,48.1964,1,10
T5_Eta_000044,2001-05-05T14:50:00,13.4899,48.6517,1,9
T5_Eta_000045,2001-05-05T13:50:00,10.8395,47.8927,2,3
T5_Eta_000046,2001-05-05T13:50:00,12.2459,48.3806,2,8
T5_Eta_000047,2001-05-05T14:50:00,13.3133,48.8278,2,6
T5_Eta_000048,2001-05-05T12:50:00,13.3045,48.7266,4,5
T5_Eta_000049,2001-05-10T12:50:00,7.8503,47.8194,1,7
T5_Eta_000050,2001-05-14T12:50:00,11.9506,48.0679,1,8
T5_Eta_000051,2001-05-14T12:50:00,9.9746,49.0939,1,3
T5_Eta_000052,2001-05-14T12:50:00,7.8621,51.4740,1,5
T5_Eta_000053,2001-05-14T13:50:00,11.7825,47.9706,1,9
T5_Eta_000054,2001-05-14T14:50:00,9.6596,51.0691,1,7
T5_Eta_000055,2001-05-14T15:50:00,11.5663,48.2104,1,4
T5_Eta_000056,2001-05-14T16:50:00,10.7848,48.2800,1,4
T5_Eta_000057,2001-05-14T16:50:00,11.0878,48.2598,1,9
T5_Eta_000058,2001-05-14T17:50:00,7.3955,52.5750,1,7
T5_Eta_000059,2001-05-14T18:50:00,7.1382,52.5848,2,6
