bundesland,region,rki_summe,modell_summe,rki_je_100k,modell_je_100k,verhaeltnis_modell_rki,modell_regional_je_100k,verhaeltnis_regional
Schleswig-Holstein,nord,180,654,1.5,5.5,3.64,3.3,2.19
Hamburg,nord,190,613,2.6,8.3,3.23,5.0,1.94
Mecklenburg-Vorpommern,nord,340,688,5.4,10.9,2.02,6.5,1.22
Bremen,nord,160,255,5.7,9.1,1.6,5.5,0.96
Bayern,sued,3080,2901,5.8,5.5,0.94,9.3,1.59
Niedersachsen,nord,1960,3140,6.1,9.8,1.6,5.9,0.96
Thüringen,mitte,560,848,6.6,10.0,1.51,9.7,1.47
Brandenburg,mitte,790,1821,7.7,17.8,2.3,17.3,2.23
Sachsen,mitte,1340,2270,8.3,14.0,1.69,13.6,1.64
Sachsen-Anhalt,mitte,760,1520,8.9,17.7,2.0,17.2,1.94
Berlin,mitte,1340,2053,9.1,14.0,1.53,13.6,1.48
Nordrhein-Westfalen,mitte,6780,6882,9.4,9.5,1.01,9.3,0.98
Baden-Württemberg,sued,5760,3203,12.8,7.1,0.56,12.1,0.94
Hessen,mitte,3620,2637,14.4,10.5,0.73,10.2,0.71
Saarland,mitte,610,760,15.0,18.7,1.25,18.1,1.21
Rheinland-Pfalz,mitte,2500,2220,15.2,13.5,0.89,13.0,0.86
