bundesland,region,rki_summe,modell_summe,rki_je_100k,modell_je_100k,verhaeltnis_modell_rki,modell_regional_je_100k,verhaeltnis_regional
Schleswig-Holstein,norden,180,397,1.5,3.4,2.21,2.2,1.46
Hamburg,norden,190,382,2.6,5.2,2.01,3.4,1.33
Mecklenburg-Vorpommern,norden,340,469,5.4,7.4,1.38,4.9,0.91
Bremen,norden,160,159,5.7,5.7,0.99,3.7,0.66
Bayern,sueden,3080,1536,5.8,2.9,0.5,5.4,0.92
Niedersachsen,norden,1960,1959,6.1,6.1,1.0,4.0,0.66
Thüringen,osten,560,529,6.6,6.3,0.94,4.4,0.66
Brandenburg,osten,790,1250,7.7,12.2,1.58,8.6,1.11
Sachsen,osten,1340,1482,8.3,9.1,1.11,6.4,0.77
Sachsen-Anhalt,osten,760,998,8.9,11.6,1.31,8.2,0.92
Berlin,osten,1340,1408,9.1,9.6,1.05,6.7,0.74
Nordrhein-Westfalen,westen,6780,4267,9.4,5.9,0.63,6.4,0.68
Baden-Württemberg,sueden,5760,1641,12.8,3.7,0.28,6.7,0.52
Hessen,westen,3620,1617,14.4,6.4,0.45,6.9,0.48
Saarland,westen,610,427,15.0,10.5,0.7,11.3,0.75
Rheinland-Pfalz,westen,2500,1318,15.2,8.0,0.53,8.6,0.57
