bundesland,region,rki_summe,modell_summe,rki_je_100k,modell_je_100k,verhaeltnis_modell_rki,modell_regional_je_100k,verhaeltnis_regional
Schleswig-Holstein,nord,180,397,1.5,3.4,2.21,2.2,1.45
Hamburg,nord,190,385,2.6,5.2,2.03,3.4,1.33
Mecklenburg-Vorpommern,nord,340,474,5.4,7.5,1.39,4.9,0.91
Bremen,nord,160,161,5.7,5.7,1.0,3.7,0.66
Bayern,sued,3080,1529,5.8,2.9,0.5,5.3,0.91
Niedersachsen,nord,1960,1977,6.1,6.2,1.01,4.0,0.66
Thüringen,mitte,560,526,6.6,6.2,0.94,6.1,0.92
Brandenburg,mitte,790,1261,7.7,12.3,1.6,12.1,1.57
Sachsen,mitte,1340,1483,8.3,9.1,1.11,9.0,1.09
Sachsen-Anhalt,mitte,760,1004,8.9,11.7,1.32,11.5,1.3
Berlin,mitte,1340,1422,9.1,9.7,1.06,9.5,1.04
Nordrhein-Westfalen,mitte,6780,4253,9.4,5.9,0.63,5.8,0.62
Baden-Württemberg,sued,5760,1624,12.8,3.6,0.28,6.6,0.52
Hessen,mitte,3620,1616,14.4,6.4,0.45,6.3,0.44
Saarland,mitte,610,430,15.0,10.6,0.7,10.4,0.69
Rheinland-Pfalz,mitte,2500,1321,15.2,8.0,0.53,7.9,0.52
