jahr,d_rki,pi_unten,pi_oben,d_mod_unkalibriert,d_mod_kalibriert,abweichung_pct,im_praediktionsintervall
1992,3100,1900,4200,4074,4185,35.0,True
1994,10200,8900,11400,4039,4149,-59.3,False
1995,2900,1900,4000,2503,2572,-11.3,True
1997,1920,1060,2750,2580,2650,38.0,True
1998,900,120,1740,683,702,-22.0,True
2001,2300,1000,3400,1588,1631,-29.1,True
2002,1290,360,2260,2939,3019,134.0,False
2003,10200,8900,11600,9304,9559,-6.3,True
2004,1350,550,2080,1041,1069,-20.8,True
2005,1660,670,2640,918,943,-43.2,True
2006,7700,6700,8800,3602,3701,-51.9,False
2008,1220,190,2140,1894,1946,59.5,True
2010,4090,3160,5090,2722,2796,-31.6,False
2012,1200,100,2400,1266,1301,8.4,True
2013,3500,2400,4600,2328,2391,-31.7,False
2014,1400,200,2400,1399,1438,2.7,True
2015,7000,5600,8100,3935,4042,-42.3,False
2016,1600,100,2700,2545,2615,63.4,True
2017,1400,540,2150,2821,2898,107.0,False
2018,8500,7100,10100,7676,7886,-7.2,True
2019,6800,5400,8300,7343,7543,10.9,True
2020,3700,2500,5000,3741,3843,3.9,True
2021,1700,700,2800,2971,3052,79.5,False
2022,4500,3100,6000,7278,7477,66.2,False
2023,3100,1300,4600,4461,4583,47.8,True
2024,2800,1200,4400,4224,4340,55.0,True
2025,2500,1200,3700,3864,3970,58.8,False
