jahr,d_rki,pi_unten,pi_oben,d_mod_unkalibriert,d_mod_kalibriert,abweichung_pct,im_praediktionsintervall
2012,1200,100,2400,1266,1127,-6.1,True
2013,3500,2400,4600,2328,2071,-40.8,False
2014,1400,200,2400,1399,1245,-11.1,True
2015,7000,5600,8100,3935,3501,-50.0,False
2016,1600,100,2700,2545,2265,41.6,True
2017,1400,540,2150,2821,2510,79.3,False
2018,8500,7100,10100,7676,6830,-19.6,False
2019,6800,5400,8300,7343,6533,-3.9,True
2020,3700,2500,5000,3741,3328,-10.0,True
2021,1700,700,2800,2971,2644,55.5,True
2022,4500,3100,6000,7278,6476,43.9,False
2023,3100,1300,4600,4461,3969,28.0,True
2024,2800,1200,4400,4224,3759,34.2,True
2025,2500,1200,3700,3864,3439,37.5,True
