jahr,d_rki,pi_unten,pi_oben,d_mod_unkalibriert,d_mod_kalibriert,abweichung_pct,im_praediktionsintervall
2012,1200,100,2400,1248,1143,-4.7,True
2013,3500,2400,4600,2271,2081,-40.6,False
2014,1400,200,2400,1376,1260,-10.0,True
2015,7000,5600,8100,3805,3486,-50.2,False
2016,1600,100,2700,2474,2267,41.7,True
2017,1400,540,2150,2735,2506,79.0,False
2018,8500,7100,10100,7467,6841,-19.5,False
2019,6800,5400,8300,7161,6560,-3.5,True
2020,3700,2500,5000,3640,3334,-9.9,True
2021,1700,700,2800,2903,2660,56.5,True
2022,4500,3100,6000,7054,6462,43.6,False
2023,3100,1300,4600,4318,3955,27.6,True
2024,2800,1200,4400,4083,3740,33.6,True
2025,2500,1200,3700,3741,3427,37.1,True
