"# Ablesewerte aus ZfKD KID 2025 Abb. 3.13.2 (C43) und Abb. 3.14.3 (C44), je 100.000, 2021-2023"
"# Manuelle Ablesung (Balkendiagramm, gitterliniengestuetzt), Toleranz ±15 % (Bericht §3.3); Lauf 30.08.2026"
"# 'angesetzt' = unter Ablesegrenze (< ~15 bei C44-Achse 0-2500): u20 beide Entitaeten (0,5 bzw. 2,0, Band 0-5), C44 20-29 (5, Band 0-15) — Bericht §3.3, Befund 212"
entitaet,altersgruppe,frauen,maenner,hinweis
c43_mm,0-19,0.5,0.5,angesetzt (unter Ablesegrenze)
c44,0-19,2.0,2.0,angesetzt (unter Ablesegrenze)
c43_mm,20-24,5,2,
c43_mm,25-29,10,5,
c43_mm,30-34,14,9,
c43_mm,35-39,19,12,
c43_mm,40-44,25,16,
c43_mm,45-49,32,21,
c43_mm,50-54,39,32,
c43_mm,55-59,41,43,
c43_mm,60-64,42,52,
c43_mm,65-69,46,68,
c43_mm,70-74,57,91,
c43_mm,75-79,66,120,
c43_mm,80-84,69,142,
c43_mm,85+,61,140,
c44,20-24,5,5,angesetzt (unter Ablesegrenze)
c44,25-29,5,5,angesetzt (unter Ablesegrenze)
c44,30-34,25,15,
c44,35-39,60,30,
c44,40-44,90,55,
c44,45-49,140,95,
c44,50-54,195,165,
c44,55-59,265,245,
c44,60-64,315,350,
c44,65-69,430,555,
c44,70-74,650,905,
c44,75-79,865,1420,
c44,80-84,1065,1905,
c44,85+,1100,2190,
