region,komponente,n_stationen,mittel_ref_1961_1990,mittel_neu_1991_2020,delta_tage,sd_delta_stationen
nord,birkengruppe,257,37.35,41.31,3.96,7.87
mitte,birkengruppe,421,35.61,39.81,4.2,7.18
sued,birkengruppe,405,32.99,38.93,5.94,7.36
deutschland,birkengruppe,1083,35.04,39.84,4.79,7.46
nord,graeser,200,12.5,17.28,4.78,5.95
mitte,graeser,465,11.31,15.4,4.08,6.04
sued,graeser,420,10.85,14.54,3.7,5.91
deutschland,graeser,1085,11.35,15.41,4.06,5.98
nord,birkengruppe_hasel,304,53.6,61.74,8.14,8.43
mitte,birkengruppe_hasel,695,51.06,59.55,8.48,8.31
sued,birkengruppe_hasel,496,46.87,55.65,8.77,7.09
deutschland,birkengruppe_hasel,1495,50.19,58.7,8.51,7.95
