gebiet,gemeinden,bevoelkerung,delta_rel_povw_prozent,delta_rel_punktmittel_prozent
deutschland,10824,82338336,8.51,7.763
land:Baden-Württemberg,1097,11033438,8.424,8.248
land:Bayern,2167,13006330,7.21,7.095
land:Berlin,1,3586909,7.165,7.165
land:Brandenburg,412,2515450,6.958,6.767
land:Bremen,2,684981,8.285,8.432
land:Hamburg,1,1800014,8.726,8.726
land:Hessen,425,6199824,8.569,8.753
land:Mecklenburg-Vorpommern,716,1534682,4.794,4.391
land:Niedersachsen,950,7918440,9.092,8.997
land:Nordrhein-Westfalen,395,17809211,9.631,9.294
land:Rheinland-Pfalz,2266,4085145,8.766,8.6
land:Saarland,52,1003273,9.424,7.308
land:Sachsen,417,4022361,10.548,9.297
land:Sachsen-Anhalt,218,2142156,12.087,12.22
land:Schleswig-Holstein,1101,2890526,5.287,5.834
land:Thüringen,604,2105596,7.852,8.054
region:mitte,4790,43469925,9.155,8.655
region:nord,2770,14828643,7.824,6.549
region:sued,3264,24039768,7.767,7.482
