gebiet,ssd_ref_1961_1990,ssd_neu_1991_2020,delta_rel_prozent,trend_1997_2022_prozent_je_dekade
deutschland,1544.0,1664.8,7.82,5.35
nrw,1439.9,1572.7,9.22,5.81
nord,1557.5,1655.0,6.26,4.12
mitte,1523.9,1652.3,8.42,5.71
sued,1601.2,1721.8,7.53,5.76
land:Baden-Wuerttemberg,1607.1,1738.4,8.18,6.04
land:Bayern,1595.4,1705.1,6.88,5.48
land:Brandenburg/Berlin,1634.2,1740.8,6.52,4.81
land:Hessen,1459.3,1589.1,8.89,5.85
land:Mecklenburg-Vorpommern,1648.4,1721.9,4.46,4.21
land:Niedersachsen/Hamburg/Bremen,1456.9,1585.7,8.84,5.0
land:Nordrhein-Westfalen,1439.9,1572.7,9.22,5.81
land:Rheinland-Pfalz,1507.3,1637.4,8.63,6.68
land:Saarland,1571.0,1680.9,6.99,5.9
land:Sachsen,1549.4,1695.9,9.46,5.55
land:Schleswig-Holstein,1567.1,1657.4,5.76,3.14
land:Thueringen/Sachsen-Anhalt,1506.0,1649.1,9.5,5.39
