region,w,p,q_w_emp,q_w_gauss
nord,1,0.0385,-4.1717,-4.1762
nord,2,0.1154,-2.8123,-2.8294
nord,3,0.1923,-2.0046,-2.0527
nord,4,0.2692,-1.4478,-1.4524
nord,5,0.3462,-0.9913,-0.9343
nord,6,0.4231,-0.5020,-0.4581
nord,7,0.5000,-0.0044,0.0000
nord,8,0.5769,0.4198,0.4581
nord,9,0.6538,0.8945,0.9343
nord,10,0.7308,1.5396,1.4524
nord,11,0.8077,2.0956,2.0527
nord,12,0.8846,2.8265,2.8294
nord,13,0.9615,4.2211,4.1762
mitte,1,0.0385,-4.5907,-4.5662
mitte,2,0.1154,-3.0418,-3.0936
mitte,3,0.1923,-2.2672,-2.2444
mitte,4,0.2692,-1.6421,-1.5880
mitte,5,0.3462,-1.1242,-1.0216
mitte,6,0.4231,-0.5675,-0.5009
mitte,7,0.5000,-0.0363,0.0000
mitte,8,0.5769,0.5141,0.5009
mitte,9,0.6538,1.0473,1.0216
mitte,10,0.7308,1.6527,1.5880
mitte,11,0.8077,2.3156,2.2444
mitte,12,0.8846,3.1551,3.0936
mitte,13,0.9615,4.6024,4.5662
sued,1,0.0385,-4.6738,-4.5519
sued,2,0.1154,-2.9883,-3.0839
sued,3,0.1923,-2.2266,-2.2374
sued,4,0.2692,-1.6533,-1.5830
sued,5,0.3462,-1.1103,-1.0184
sued,6,0.4231,-0.5750,-0.4993
sued,7,0.5000,-0.0335,0.0000
sued,8,0.5769,0.5127,0.4993
sued,9,0.6538,1.1231,1.0184
sued,10,0.7308,1.7459,1.5830
sued,11,0.8077,2.3643,2.2374
sued,12,0.8846,3.1777,3.0839
sued,13,0.9615,4.4554,4.5519
deutschland,1,0.0385,-4.5330,-4.4346
deutschland,2,0.1154,-2.9465,-3.0044
deutschland,3,0.1923,-2.1901,-2.1797
deutschland,4,0.2692,-1.5937,-1.5422
deutschland,5,0.3462,-1.0736,-0.9921
deutschland,6,0.4231,-0.5433,-0.4864
deutschland,7,0.5000,-0.0236,0.0000
deutschland,8,0.5769,0.4768,0.4864
deutschland,9,0.6538,1.0290,0.9921
deutschland,10,0.7308,1.6516,1.5422
deutschland,11,0.8077,2.2626,2.1797
deutschland,12,0.8846,3.0628,3.0044
deutschland,13,0.9615,4.4100,4.4346
