region,station_id,station,bundesland,dwd_name,hoehe_m,n_jahre_gueltig,jahre_verworfen,fehltage_summe_gueltige_jahre,t_sommer_mittel,sigma_intra,sigma_interannual
nord,1975,Hamburg-Fuhlsbüttel,HH,Hamburg-Fuhlsbüttel,11,30,,0,17.483,2.480,0.935
nord,691,Bremen,HB,Bremen,4,30,,0,17.547,2.514,0.978
nord,2014,Hannover,NI,Hannover,55,30,,0,17.891,2.490,0.943
nord,3631,Norderney,NI,Norderney,12,30,,0,16.955,2.133,0.794
nord,4625,Schwerin,MV,Schwerin,59,30,,0,17.593,2.506,1.042
nord,1757,Greifswald,MV,Greifswald,2,30,,0,17.351,2.113,0.917
nord,4466,Schleswig,SH,Schleswig,43,30,,0,16.511,2.267,0.938
mitte,433,Berlin-Tempelhof,BE,Berlin-Tempelhof,48,30,,0,19.349,2.609,1.097
mitte,3987,Potsdam,BB,Potsdam,81,30,,0,18.594,2.577,1.138
mitte,1420,Frankfurt/Main,HE,Frankfurt/Main,100,30,,0,19.698,2.577,0.956
mitte,2667,Köln/Bonn,NW,Köln/Bonn,91,30,,0,18.238,2.488,0.954
mitte,1048,Dresden-Klotzsche,SN,Dresden-Klotzsche,228,30,,0,18.641,2.634,1.052
mitte,1270,Erfurt-Weimar,TH,Erfurt-Weimar,317,30,,0,17.538,2.618,0.977
mitte,4336,Saarbrücken-Ensheim,SL,Saarbrücken-Ensheim,319,30,,0,17.991,2.584,0.996
sued,3379,München-Stadt,BY,München-Stadt,515,30,,0,18.976,2.724,1.050
sued,4931,Stuttgart-Echterdingen,BW,Stuttgart-Echterdingen,371,30,,0,18.594,2.554,0.998
sued,3668,Nürnberg,BY,Nürnberg,314,30,,0,18.631,2.606,1.055
sued,1443,Freiburg,BW,Freiburg,237,30,,1,20.061,2.598,1.124
sued,232,Augsburg,BY,Augsburg,462,30,,0,17.673,2.427,0.896
sued,4104,Regensburg,BY,Regensburg,365,30,,0,18.663,2.519,1.050
sued,2712,Konstanz,BW,Konstanz,428,30,,0,19.189,2.596,1.069
