kommune;szenario;gitter_id;a_anteil;h_m;h_herkunft;quelle_flaeche_url;quelle_tiefe_url;zugriff
Hitzacker;HQhäufig;CRS3035RES100mN3337000E4393300;0.003490;4.0000;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
Hitzacker;HQhäufig;CRS3035RES100mN3337100E4393200;0.000053;4.0000;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
Hitzacker;HQhäufig;CRS3035RES100mN3337100E4393300;0.545888;3.8337;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
Hitzacker;HQhäufig;CRS3035RES100mN3337200E4392600;0.005528;3.0000;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
Hitzacker;HQhäufig;CRS3035RES100mN3337200E4392700;0.252869;3.0000;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
Hitzacker;HQhäufig;CRS3035RES100mN3337200E4392800;0.594956;3.0000;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
Hitzacker;HQhäufig;CRS3035RES100mN3337200E4392900;0.858224;3.0000;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
Hitzacker;HQhäufig;CRS3035RES100mN3337200E4393000;0.633939;3.0000;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
Hitzacker;HQhäufig;CRS3035RES100mN3337200E4393100;0.517168;3.4303;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
Hitzacker;HQhäufig;CRS3035RES100mN3337200E4393200;0.743958;3.9574;karte;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Risikogebiete_HQhaeufig.zip;https://www.umweltkarten-niedersachsen.de/Download_OE/HWSchutz/HWRMRL_Z2_Wassertiefen_HQhaeufig.zip;2026-09-17
