kommune;szenario;gitter_id;a_anteil;h_m;h_herkunft;quelle_flaeche_url;quelle_tiefe_url;zugriff
Grimma;HQhäufig;CRS3035RES100mN3120400E4516700;1.000000;1.9257;karte;https://luis.sachsen.de/arcgis/rest/services/wasser/hochwassergefaehrdung/MapServer/6;https://luis.sachsen.de/arcgis/rest/services/wasser/hochwassergefaehrdung/MapServer/6;2026-09-17
Grimma;HQhäufig;CRS3035RES100mN3120500E4516600;1.000000;3.5699;karte;https://luis.sachsen.de/arcgis/rest/services/wasser/hochwassergefaehrdung/MapServer/6;https://luis.sachsen.de/arcgis/rest/services/wasser/hochwassergefaehrdung/MapServer/6;2026-09-17
Grimma;HQhäufig;CRS3035RES100mN3120500E4516700;1.000000;1.8481;karte;https://luis.sachsen.de/arcgis/rest/services/wasser/hochwassergefaehrdung/MapServer/6;https://luis.sachsen.de/arcgis/rest/services/wasser/hochwassergefaehrdung/MapServer/6;2026-09-17
Grimma;HQhäufig;CRS3035RES100mN3120500E4516800;0.919589;1.1445;karte;https://luis.sachsen.de/arcgis/rest/services/wasser/hochwassergefaehrdung/MapServer/6;https://luis.sachsen.de/arcgis/rest/services/wasser/hochwassergefaehrdung/MapServer/6;2026-09-17
Grimma;HQhäufig;CRS3035RES100mN3120500E4516900;1.000000;0.2696;karte;https://luis.sachsen.de/arcgis/rest/services/wasser/hochwassergefaehrdung/MapServer/6;https://luis.sachsen.de/arcgis/rest/services/wasser/hochwassergefaehrdung/MapServer/6;2026-09-17
Grimma;HQhäufig;CRS3035RES100mN3120600E4516600;1.000000;3.4357;karte;https://luis.sachsen.de/arcgis/rest/services/wasser/hochwassergefaehrdung/MapServer/6;https://luis.sachsen.de/arcgis/rest/services/wasser/hochwassergefaehrdung/MapServer/6;2026-09-17
Grimma;HQhäufig;CRS3035RES100mN3120600E4516700;1.000000;1.8765;karte;https://luis.sachsen.de/arcgis/rest/services/wasser/hochwassergefaehrdung/MapServer/6;https://luis.sachsen.de/arcgis/rest/services/wasser/hochwassergefaehrdung/MapServer/6;2026-09-17
Grimma;HQhäufig;CRS3035RES100mN3120600E4516800;0.935877;1.3561;karte;https://luis.sachsen.de/arcgis/rest/services/wasser/hochwassergefaehrdung/MapServer/6;https://luis.sachsen.de/arcgis/rest/services/wasser/hochwassergefaehrdung/MapServer/6;2026-09-17
Grimma;HQhäufig;CRS3035RES100mN3120600E4516900;0.995735;0.3525;karte;https://luis.sachsen.de/arcgis/rest/services/wasser/hochwassergefaehrdung/MapServer/6;https://luis.sachsen.de/arcgis/rest/services/wasser/hochwassergefaehrdung/MapServer/6;2026-09-17
Grimma;HQhäufig;CRS3035RES100mN3120600E4517000;1.000000;0.7285;karte;https://luis.sachsen.de/arcgis/rest/services/wasser/hochwassergefaehrdung/MapServer/6;https://luis.sachsen.de/arcgis/rest/services/wasser/hochwassergefaehrdung/MapServer/6;2026-09-17
Grimma;HQhäufig;CRS3035RES100mN3120700E4516700;1.000000;2.0221;karte;https://luis.sachsen.de/arcgis/rest/services/wasser/hochwassergefaehrdung/MapServer/6;https://luis.sachsen.de/arcgis/rest/services/wasser/hochwassergefaehrdung/MapServer/6;2026-09-17
Grimma;HQhäufig;CRS3035RES100mN3120700E4516800;0.999305;1.4967;karte;https://luis.sachsen.de/arcgis/rest/services/wasser/hochwassergefaehrdung/MapServer/6;https://luis.sachsen.de/arcgis/rest/services/wasser/hochwassergefaehrdung/MapServer/6;2026-09-17
Grimma;HQhäufig;CRS3035RES100mN3120700E4516900;0.930809;0.6434;karte;https://luis.sachsen.de/arcgis/rest/services/wasser/hochwassergefaehrdung/MapServer/6;https://luis.sachsen.de/arcgis/rest/services/wasser/hochwassergefaehrdung/MapServer/6;2026-09-17
Grimma;HQhäufig;CRS3035RES100mN3120700E4517000;1.000000;0.6534;karte;https://luis.sachsen.de/arcgis/rest/services/wasser/hochwassergefaehrdung/MapServer/6;https://luis.sachsen.de/arcgis/rest/services/wasser/hochwassergefaehrdung/MapServer/6;2026-09-17
Grimma;HQhäufig;CRS3035RES100mN3120800E4516700;1.000000;2.6321;karte;https://luis.sachsen.de/arcgis/rest/services/wasser/hochwassergefaehrdung/MapServer/6;https://luis.sachsen.de/arcgis/rest/services/wasser/hochwassergefaehrdung/MapServer/6;2026-09-17
Grimma;HQhäufig;CRS3035RES100mN3120800E4516800;1.000000;1.5002;karte;https://luis.sachsen.de/arcgis/rest/services/wasser/hochwassergefaehrdung/MapServer/6;https://luis.sachsen.de/arcgis/rest/services/wasser/hochwassergefaehrdung/MapServer/6;2026-09-17
Grimma;HQhäufig;CRS3035RES100mN3120800E4516900;0.930406;1.0186;karte;https://luis.sachsen.de/arcgis/rest/services/wasser/hochwassergefaehrdung/MapServer/6;https://luis.sachsen.de/arcgis/rest/services/wasser/hochwassergefaehrdung/MapServer/6;2026-09-17
Grimma;HQhäufig;CRS3035RES100mN3120800E4517000;1.000000;1.0141;karte;https://luis.sachsen.de/arcgis/rest/services/wasser/hochwassergefaehrdung/MapServer/6;https://luis.sachsen.de/arcgis/rest/services/wasser/hochwassergefaehrdung/MapServer/6;2026-09-17
Grimma;HQhäufig;CRS3035RES100mN3120900E4516800;1.000000;1.6490;karte;https://luis.sachsen.de/arcgis/rest/services/wasser/hochwassergefaehrdung/MapServer/6;https://luis.sachsen.de/arcgis/rest/services/wasser/hochwassergefaehrdung/MapServer/6;2026-09-17
Grimma;HQhäufig;CRS3035RES100mN3120900E4516900;0.913923;1.2484;karte;https://luis.sachsen.de/arcgis/rest/services/wasser/hochwassergefaehrdung/MapServer/6;https://luis.sachsen.de/arcgis/rest/services/wasser/hochwassergefaehrdung/MapServer/6;2026-09-17
Grimma;HQhäufig;CRS3035RES100mN3120900E4517000;0.999999;1.0529;karte;https://luis.sachsen.de/arcgis/rest/services/wasser/hochwassergefaehrdung/MapServer/6;https://luis.sachsen.de/arcgis/rest/services/wasser/hochwassergefaehrdung/MapServer/6;2026-09-17
Grimma;HQhäufig;CRS3035RES100mN3120900E4517100;1.000000;0.9739;karte;https://luis.sachsen.de/arcgis/rest/services/wasser/hochwassergefaehrdung/MapServer/6;https://luis.sachsen.de/arcgis/rest/services/wasser/hochwassergefaehrdung/MapServer/6;2026-09-17
Grimma;HQhäufig;CRS3035RES100mN3120900E4517200;0.999865;0.9257;karte;https://luis.sachsen.de/arcgis/rest/services/wasser/hochwassergefaehrdung/MapServer/6;https://luis.sachsen.de/arcgis/rest/services/wasser/hochwassergefaehrdung/MapServer/6;2026-09-17
Grimma;HQhäufig;CRS3035RES100mN3120900E4517400;0.036312;0.4241;karte;https://luis.sachsen.de/arcgis/rest/services/wasser/hochwassergefaehrdung/MapServer/6;https://luis.sachsen.de/arcgis/rest/services/wasser/hochwassergefaehrdung/MapServer/6;2026-09-17
