klasse;kommune;zellen;wohnflaeche_zellen_m2;wohnflaeche_exponiert_hq100_m2;wohnflaeche_exponiert_hqextrem_m2;jahresschaden_m2a;rate_zellen_1_pro_a;rate_exponiert_hqextrem_1_pro_a;anteil_fallback_tiefe;anteil_fallback_zensus
gk3_gk4;Grimma;1356;173609.560000;125490.115895;134272.840266;1385.867945;0.007982670682971;0.010321282711722;0.016224188790560;0.900442477876106
gk3_gk4;Dresden;5282;4583419.960000;2597695.488843;3252273.495233;18617.341830;0.004061888718925;0.005724408435178;0.021014767133661;0.657516092389246
gk3_gk4;Deggendorf;2347;572688.280000;368542.205925;438806.282400;1457.701500;0.002545366390235;0.003321970442220;0.885385598636557;0.872603323391564
gk3_gk4;Passau;970;424596.650000;187485.884700;275767.396000;2740.532737;0.006454437963625;0.009937841734518;0.174226804123711;0.781443298969072
gk3_gk4;Halle (Saale);2397;282227.030000;103624.620216;130444.707953;1270.138290;0.004500413338525;0.009736985963110;0.000000000000000;0.929078014184397
gk3_gk4;Hitzacker;490;10503.180000;1492.799088;7246.354537;42.483550;0.004044827357619;0.005862747894717;0.000000000000000;0.979591836734694
gk3_gk4;Rosenheim;358;119688.880000;21676.982625;102213.633875;444.214785;0.003711412333059;0.004345944552810;0.000000000000000;0.765363128491620
gk3_gk4;Reichertshofen;214;31694.090000;5351.764575;9898.115300;58.495536;0.001845629152249;0.005909765110333;0.000000000000000;0.850467289719626
gk3_gk4;alle;13414;6198427.630000;3411359.861868;4350922.825565;26016.776173;0.004197318695391;0.005979599550826;0.177426569256001;0.794915759654093
gk2;Grimma;109;10307.000000;0.000000;924.491001;0.465269;0.000045141032226;0.000503270036032;0.055045871559633;0.853211009174312
gk2;Dresden;1417;3038397.140000;0.000000;1364005.012195;482.462694;0.000158788555832;0.000353710352669;0.041637261820748;0.443189837685251
gk2;Deggendorf;232;177162.620000;0.000000;71993.499250;28.598386;0.000161424492848;0.000397235672429;0.000000000000000;0.568965517241379
gk2;Passau;184;94524.060000;0.000000;31735.675625;31.641444;0.000334744869793;0.000997030740132;0.032608695652174;0.635869565217391
gk2;Halle (Saale);485;1077192.530000;0.000000;968106.163498;1117.363397;0.001037292188492;0.001154174448010;0.000000000000000;0.552577319587629
gk2;Hitzacker;745;58612.340000;0.000000;48162.690357;35.624300;0.000607795213347;0.000739665899699;0.000000000000000;0.916778523489933
gk2;Rosenheim;1317;1798417.750000;0.000000;1562004.331225;1038.073935;0.000577215129714;0.000664578141106;0.000000000000000;0.480637813211845
gk2;Reichertshofen;34;19271.530000;0.000000;5182.706450;1.559997;0.000080948278302;0.000301000488605;0.000000000000000;0.647058823529412
gk2;alle;4523;6273884.970000;0.000000;4052114.569601;2735.789421;0.000436059863136;0.000675151053693;0.015697545876631;0.569533495467610
gesamt;Grimma;1465;183916.560000;125490.115895;135197.331267;1386.333214;0.007537837884281;0.010254146295072;0.019112627986348;0.896928327645051
gesamt;Dresden;6699;7621817.100000;2597695.488843;4616278.507428;19099.804524;0.002505938449182;0.004137489645131;0.025376921928646;0.612180922525750
gesamt;Deggendorf;2579;749850.900000;368542.205925;510799.781650;1486.299886;0.001982127228331;0.002909750433481;0.805738658394727;0.845288871655680
gesamt;Passau;1154;519120.710000;187485.884700;307503.071625;2772.174181;0.005340134053109;0.009015110536930;0.151646447140381;0.758232235701906
gesamt;Halle (Saale);2882;1359419.560000;103624.620216;1098550.871452;2387.501687;0.001756265510241;0.002173319187321;0.000000000000000;0.865718251214434
gesamt;Hitzacker;1235;69115.520000;1492.799088;55409.044894;78.107850;0.001130105792462;0.001409658831877;0.000000000000000;0.941700404858300
gesamt;Rosenheim;1675;1918106.630000;21676.982625;1664217.965100;1482.288720;0.000772787444151;0.000890681840535;0.000000000000000;0.541492537313433
gesamt;Reichertshofen;248;50965.620000;5351.764575;15080.821750;60.055534;0.001178353832088;0.003982245439095;0.000000000000000;0.822580645161290
gesamt;alle;17937;12472312.600000;3411359.861868;8403037.395166;28752.565595;0.002305311494099;0.003421687211736;0.136644923900318;0.738083291520321
