kommune;ags;land;gitter_id;wohnflaeche_m2;herkunft;quelle_url;zugriff
Grimma;14729160;SN;CRS3035RES100mN3121400E4520700;302.04;zensus;https://www.destatis.de/static/DE/zensus/gitterdaten/Wohnungen_nach_Gebaeudetyp_Groesse.zip | https://www.destatis.de/static/DE/zensus/gitterdaten/Durchschnittliche_Flaeche_je_Wohnung_in_Gitterzellen.zip;2026-09-17
Grimma;14729160;SN;CRS3035RES100mN3121600E4512700;384.99;zensus;https://www.destatis.de/static/DE/zensus/gitterdaten/Wohnungen_nach_Gebaeudetyp_Groesse.zip | https://www.destatis.de/static/DE/zensus/gitterdaten/Durchschnittliche_Flaeche_je_Wohnung_in_Gitterzellen.zip;2026-09-17
Grimma;14729160;SN;CRS3035RES100mN3121700E4520800;384.21;zensus;https://www.destatis.de/static/DE/zensus/gitterdaten/Wohnungen_nach_Gebaeudetyp_Groesse.zip | https://www.destatis.de/static/DE/zensus/gitterdaten/Durchschnittliche_Flaeche_je_Wohnung_in_Gitterzellen.zip;2026-09-17
Grimma;14729160;SN;CRS3035RES100mN3121800E4520600;230.46;zensus;https://www.destatis.de/static/DE/zensus/gitterdaten/Wohnungen_nach_Gebaeudetyp_Groesse.zip | https://www.destatis.de/static/DE/zensus/gitterdaten/Durchschnittliche_Flaeche_je_Wohnung_in_Gitterzellen.zip;2026-09-17
Grimma;14729160;SN;CRS3035RES100mN3121800E4520700;302.55;zensus;https://www.destatis.de/static/DE/zensus/gitterdaten/Wohnungen_nach_Gebaeudetyp_Groesse.zip | https://www.destatis.de/static/DE/zensus/gitterdaten/Durchschnittliche_Flaeche_je_Wohnung_in_Gitterzellen.zip;2026-09-17
Grimma;14729160;SN;CRS3035RES100mN3121900E4520700;344.61;zensus;https://www.destatis.de/static/DE/zensus/gitterdaten/Wohnungen_nach_Gebaeudetyp_Groesse.zip | https://www.destatis.de/static/DE/zensus/gitterdaten/Durchschnittliche_Flaeche_je_Wohnung_in_Gitterzellen.zip;2026-09-17
Grimma;14729160;SN;CRS3035RES100mN3121900E4520900;783.92;zensus;https://www.destatis.de/static/DE/zensus/gitterdaten/Wohnungen_nach_Gebaeudetyp_Groesse.zip | https://www.destatis.de/static/DE/zensus/gitterdaten/Durchschnittliche_Flaeche_je_Wohnung_in_Gitterzellen.zip;2026-09-17
Grimma;14729160;SN;CRS3035RES100mN3121900E4521000;552.90;zensus;https://www.destatis.de/static/DE/zensus/gitterdaten/Wohnungen_nach_Gebaeudetyp_Groesse.zip | https://www.destatis.de/static/DE/zensus/gitterdaten/Durchschnittliche_Flaeche_je_Wohnung_in_Gitterzellen.zip;2026-09-17
Grimma;14729160;SN;CRS3035RES100mN3121900E4521300;481.26;zensus;https://www.destatis.de/static/DE/zensus/gitterdaten/Wohnungen_nach_Gebaeudetyp_Groesse.zip | https://www.destatis.de/static/DE/zensus/gitterdaten/Durchschnittliche_Flaeche_je_Wohnung_in_Gitterzellen.zip;2026-09-17
Grimma;14729160;SN;CRS3035RES100mN3122000E4509100;325.74;zensus;https://www.destatis.de/static/DE/zensus/gitterdaten/Wohnungen_nach_Gebaeudetyp_Groesse.zip | https://www.destatis.de/static/DE/zensus/gitterdaten/Durchschnittliche_Flaeche_je_Wohnung_in_Gitterzellen.zip;2026-09-17
